drug_kegg_id,target_ko_number
D00521,K04149
D02182,K04841
D07439,K13755
D09820,K04226
D08104,K00509
D02217,K08550
D00281,K04140
D07775,K04135
D03905,K04579
D08966,K04136
D01565,K11987
D00424,K03043
D00122,K08539
D00740,K04842
D02301,K02622
D07775,K04137
D07483,K04149
D00999,K04130
D00424,K03046
D01163,K04137
D02217,K08551
D10566,K04217
D02086,K04834
D00653,K18245
D10965,K04259
D02374,K04142
D08497,K04149
D08247,K04214
D00551,K04837
D00551,K04841
D05729,K05771
D07818,K11987
D00113,K04130
D00521,K04905
D00110,K04838
D06085,K08557
D08448,K04836
D02182,K05035
D02182,K04905
D10794,K20731
D08768,K04149
D01771,K04265
D00532,K05192
D00697,K05192
D10964,K05638
D00311,K05175
D02780,K05210
D00370,K05189
D01150,K05175
D02234,K04149
D07058,K05212
D02578,K04157
D08145,K05186
D00532,K05181
D10181,K04132
D01004,K04129
D11916,K20731
D02098,K04841
D10145,K04142
D08147,K05771
D02408,K05035
D11917,K20731
D00387,K05184
D00696,K05184
D08555,K01049
D04765,K04139
D03102,K04149
D01296,K05036
D00598,K04141
D01349,K04142
D10689,K04881
D00329,K05186
D02242,K05036
D07283,K05209
D11315,K05035
D00411,K04322
D08253,K04135
D07398,K04149
D00552,K04836
D04427,K03911
D02098,K04833
D04018,K04136
D10940,K20731
D02127,K05175
D07132,K04214
D01578,K00509
D08690,K05185
D12754,K20731
D08163,K04149
D07883,K01581
D07770,K04805
D08684,K04139
D10374,K05718
D06409,K05448
D05466,K04140
D00691,K04267
D02689,K04286
D07116,K05771
D11030,K17388
D05157,K04809
D07770,K04806
D01820,K05771
D00733,K04842
D00903,K11987
D03166,K04149
D04127,K04877
D00532,K05184
D08145,K05181
D05649,K04137
D06315,K05771
D07541,K11987
D01242,K04149
D07913,K05037
D07971,K04856
D02148,K04149
D01768,K04841
D08253,K04137
D01303,K04856
D11414,K05208
D00228,K05035
D07971,K04854
D05113,K04213
D08030,K05035
D09388,K04286
D07198,K04149
D07445,K08155
D00696,K05189
D00696,K05192
D08145,K05189
D07603,K04265
D01372,K05175
D08368,K04138
D01768,K04843
D08684,K04136
D00127,K00509
D02110,K00509
D10749,K04151
D08141,K04138
D02573,K05035
D11009,K04142
D11328,K05035
D05157,K04804
D10020,K04142
D05215,K01049
D10627,K05210
D09699,K05037
D00311,K05186
D05157,K04806
D11022,K04238
D00695,K05189
D08288,K05035
D02482,K01537
D08625,K00274
D05590,K01049
D10082,K04239
D00368,K07375
D06239,K00287
D10194,K05175
D02249,K04149
D11030,K04514
D05429,K04265
D08477,K08529
D00228,K05037
D00528,K04265
D05511,K11987
D06282,K04813
D01179,K05037
D08355,K04149
D08376,K04131
D07326,K05181
D08118,K04149
D01205,K04140
D08474,K04142
D07330,K05175
D00514,K04139
D08624,K04137
D06282,K04806
D08472,K05035
D07878,K04149
D07727,K05037
D01708,K05771
D00131,K00128
D10181,K04129
D00550,K05175
D00695,K05186
D10181,K04133
D01768,K04834
D06552,K04149
D07678,K04838
D01946,K04130
D07326,K05192
D02362,K05037
D08690,K05186
D05157,K04805
D06224,K05181
D00529,K04322
D11349,K05217
D00807,K05195
D13014,K17388
D00184,K04348
D02780,K05208
D03591,K04579
D00511,K04136
D01117,K04149
D01367,K05771
D00480,K04149
D10890,K04214
D00511,K04137
D00706,K05184
D00324,K05771
D02242,K05037
D05157,K04816
D01000,K04131
D08578,K04137
D10254,K00509
D01386,K04137
D05649,K04136
D07770,K04810
D00509,K04135
D00127,K11987
D00514,K04138
D00818,K05035
D01017,K04138
D01303,K04854
D10082,K04238
D05157,K04813
D00668,K04149
D07871,K18246
D05466,K04136
D01385,K13293
D02104,K04214
D07770,K04803
D07770,K04813
D00370,K05184
D00370,K05186
D00552,K04840
D00552,K04842
D08624,K04140
D07195,K04149
D08251,K08557
D08477,K08528
D01386,K04140
D02242,K05035
D11414,K05212
D01000,K04132
D05375,K05037
D01332,K04149
D11315,K05036
D11028,K02583
D10627,K05212
D00836,K04214
D08145,K05185
D00691,K19021
D01537,K04153
D00387,K05181
D02567,K05037
D01453,K04265
D07770,K04817
D02580,K00274
D00124,K04138
D01004,K04132
D08477,K08527
D09750,K01049
D05366,K04142
D08183,K04149
D00685,K04142
D00696,K05185
D05157,K04808
D00370,K05181
D01021,K04136
D02110,K11987
D07326,K05189
D08297,K04145
D02212,K04131
D11886,K04239
D01978,K04142
D03591,K04578
D11111,K04214
D00397,K04132
D00387,K05192
D02104,K04213
D00550,K05184
D04747,K05036
D07482,K04149
D09699,K04153
D08381,K05195
D08837,K04129
D07058,K05211
D01408,K05184
D00509,K04136
D00706,K05186
D07283,K05208
D01771,K04267
D00364,K04149
D07740,K04215
D07543,K04149
D05466,K04135
D05429,K04267
D00311,K05184
D03721,K05037
D01372,K05192
D10185,K04819
D11829,K08550
D05466,K04138
D02624,K05192
D07400,K04149
D00380,K05004
D09881,K17689
D07678,K04836
D01386,K04139
D05113,K04214
D00836,K04215
D00326,K05037
D02074,K05035
D00671,K04149
D08690,K05189
D05157,K04810
D10194,K05189
D01004,K04130
D00397,K04130
D04018,K04135
D05157,K04811
D08648,K04149
D00816,K05035
D00397,K04129
D05157,K04807
D05730,K04142
D01372,K05184
D00246,K05771
D02074,K05036
D03325,K05771
D00509,K04138
D05513,K11987
D07445,K05035
D01477,K04145
D11630,K04265
D00387,K05185
D01408,K05175
D07402,K04149
D10689,K04879
D01317,K04149
D07326,K05186
D07489,K04142
D05157,K04815
D02127,K05195
D00697,K05175
D04018,K04137
D06246,K04149
D08297,K04157
D11414,K05211
D10194,K05181
D00124,K04137
D01017,K04135
D01546,K05037
D04127,K04880
D00532,K05189
D00733,K04834
D00733,K04843
D01179,K05035
D07862,K04149
D00550,K05192
D08071,K05035
D01000,K04133
D02074,K08155
D10181,K04130
D07461,K04139
D00697,K05184
D00733,K04840
D11490,K04151
D00552,K04834
D07869,K01049
D00484,K05035
D08690,K05175
D08070,K05035
D10184,K05037
D03693,K04149
D08090,K04141
D02483,K01537
D01825,K05771
D00706,K05175
D01703,K05771
D03163,K00509
D01224,K04138
D07807,K03164
D00821,K05035
D11210,K04380
D02098,K04843
D07984,K05037
D01385,K13296
D04980,K04149
D07461,K04140
D01478,K04149
